gb_00026281, Cepsa Uk Limited, https://www.cepsa.com/cepsa/Who_we_are/The_Company/CEPSA_Worldwide/UK/, NA, https://www.linkedin.com/company/cepsa 
gb_00026538, Esso Petroleum Company Limited, https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=5466418, NA, https://www.linkedin.com/company/esso-petroleum-company-limited 
gb_00064070, Mcgraw Hill International U K Limited, https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=5546553, NA, https://www.linkedin.com/company/mcgraw-hill-education 
gb_00084170, Epc United Kingdom Plc, http://www.epc-groupe.co.uk/, NA, https://www.linkedin.com/company/epc-uk 
gb_00162175, Lazard And Co Limited, https://www.lazard.com/, NA, https://www.linkedin.com/company/lazard 
gb_00181116, Willis Limited, http://www.willis.com/, NA, https://www.linkedin.com/company/willis-towers-watson 
gb_00212361, Kilifi Plantations Limited, https://www.fuzu.com/company/kilifi-plantations-limited, NA, https://www.linkedin.com/company/kilifi-plantations-limited 
gb_00362221, Adams Foods Limited, http://www.ornuafoods.co.uk/, NA, https://uk.linkedin.com/in/adams-foods-ltd-6862a4113 
gb_00364757, W H Bowker Limited, http://www.bowkertransport.co.uk/, NA, https://www.linkedin.com/company/bowker-group 
gb_00371501, R Swain And Sons Limited, http://www.rswain.com/, NA, https://uk.linkedin.com/in/paul-kavanagh-51b34213 
gb_00372481, Graham & Brown Limited, https://www.grahambrown.com/, NA, https://www.linkedin.com/company/graham-&-brown 
gb_00375784, Nigel Fredericks Limited, https://www.nigelfredericks.co.uk/, NA, https://www.linkedin.com/company/nigel-fredericks-limited 
gb_00375854, Morning Foods,Limited, http://www.morningfoods.com/, NA, https://www.linkedin.com/company/morning-foods-ltd 
gb_00381393, John Guest Holdings Limited, http://www.johnguest.com/, NA, https://www.linkedin.com/company/john-guest-ltd- 
gb_00383914, Schenker Limited, https://www.dbschenker.co.uk/, NA, https://www.linkedin.com/company/schenker 
gb_00385595, Guilford Europe Limited, http://www.guilfordtextiles.com/, NA, https://www.linkedin.com/company/guilford-europe-ltd
gb_00386730, Architectural Decorators Limited, http://www.theadgroup.co.uk/decorators/, NA, https://www.linkedin.com/company/architectural-decorators-limited 
gb_00387426, Barton Petroleum Limited, https://bartonpetroleum.co.uk/, NA, https://www.linkedin.com/company/barton-petroleum-ltd 
gb_00387579, Thwaites Limited, http://www.thwaitesdumpers.co.uk/, NA, https://www.linkedin.com/company/thwaites-ltd. 
gb_00388251, Bartholomews Agri Food Limited, http://www.bartholomews.co.uk/, NA, https://www.linkedin.com/company/bartholomews-agri-food-limited 
gb_00390845, Young & Rubicam Group Limited, http://www.yrgrp.com/, NA, https://www.linkedin.com/company/young-&-rubicam-group 
gb_00391366, Cubitt Theobald Limited, http://www.cubitt.co.uk/, NA, https://www.linkedin.com/company/cubitt-theobald 
gb_00391560, St Martins Healthcare Limited, http://www.smhs-leeds.co.uk/, NA, https://www.linkedin.com/company/st-martins-healthcare-limited 
gb_00394532, Remploy,Limited, http://www.remploy.co.uk/, NA, https://www.linkedin.com/company/remploy-ltd 
gb_00397634, Bovis Homes Limited, https://www.bovishomes.co.uk/, NA, https://www.linkedin.com/company/bovishomes 
gb_00397840, Alfred Jones Warrington Limited, http://companycheck.co.uk/company/00397840/ALFRED-JONES-WARRINGTON-LIMITED, NA, https://www.linkedin.com/company/alfred-jones-warrington-limited 
gb_00401507, Pegler Yorkshire Group Limited, http://www.pegleryorkshire.co.uk/, NA, https://www.linkedin.com/company/pegler-yorkshire 
gb_00405836, Wavin Limited, http://www.wavin.co.uk/, NA, https://www.linkedin.com/company/wavin-limited 
gb_00406069, Hughes Electrical Limited, http://www.hughes.co.uk/, NA, https://www.linkedin.com/company/hughes-electrical 
gb_00406809, Raytheon Systems Limited, http://www.raytheon.co.uk/, NA, https://www.linkedin.com/company/raytheon-uk 
gb_00407141, Fearnley Construction Limited, http://www.fearnleyconstruction.co.nz/, NA, https://www.linkedin.com/company/fearnley-construction-limited 
gb_00408017, Appe U.K. Ltd., https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=5569974, NA, https://www.linkedin.com/company/apple 
gb_00409459, Isg Pearce Limited, https://www.isgplc.com/, NA, https://www.linkedin.com/company/isg-pearce-limited 
gb_00410287, Rhone Products Uk Limited, https://beta.companieshouse.gov.uk/company/00410287, NA, https://www.linkedin.com/company/rhone-products-uk-limited 
gb_00413250, Jct600 Limited, https://www.jct600.co.uk/, NA, https://www.linkedin.com/company/jct600-ltd 
gb_00414220, Pa Consulting Services Limited, http://www.paconsulting.com/, NA, https://www.linkedin.com/company/pa-consulting-group 
gb_00417021, Decco Limited, http://www.decco.co.uk/, NA, https://www.linkedin.com/company/decco 
gb_00418878, De Vere Village Trading No 1 Limited, https://beta.companieshouse.gov.uk/company/00418878, NA, https://beta.companieshouse.gov.uk/company/00418878 
gb_00421094, Leck Construction Limited, http://www.leckconstruction.co.uk/, NA, https://www.linkedin.com/company/leck-construction-limited 
gb_00422128, H And S Aviation Limited, http://www.hsaviation.co.uk/, NA, https://www.linkedin.com/company/h-s-aviation-ltd 
gb_00423062, Mcd Group Limited, http://www.mcd-group.co.uk/, NA, https://www.linkedin.com/company/mcd-group-limited 
gb_00429315, Petrochem Carless Limited, http://www.haltermann-carless.com/, NA, https://www.linkedin.com/company/petrochem-carless 
gb_00433982, D.P.T.(Wear)Limited, https://beta.companieshouse.gov.uk/company/00433982, NA, https://uk.linkedin.com/in/kimberley-parrish-73948aa9 
